OPT_SENSEX_20250513_CE_8080000,0,0,0,0,3040,5279264,3040
OPT_SENSEX_20250513_PE_8080000,0,0,0,0,3180,205428,3180
OPT_SENSEX_20250513_CE_8090000,0,0,0,0,1620,2673972,1620
OPT_SENSEX_20250513_PE_8090000,0,0,0,0,2080,150800,2080
OPT_NIFTY_20250515_PE_2320000,0,0,0,0,-1650,-12375,-1650
OPT_NIFTY_20250515_PE_2330000,0,0,0,0,-6900,-57960,-6900
OPT_NIFTY_20250515_PE_2340000,0,0,0,0,-4425,-42258.75,-4425
OPT_NIFTY_20250515_PE_2350000,0,0,0,0,-4125,-44962.5,-4125
OPT_NIFTY_20250515_PE_2360000,0,0,0,0,-1575,-19372.5,-1575
OPT_NIFTY_20250515_PE_2370000,0,0,0,0,-300,-4200,-300
OPT_NIFTY_20250515_CE_2390000,0,0,0,0,3300,3538260,3300
OPT_NIFTY_20250515_PE_2390000,0,0,0,0,-2925,-54258.75,-2925
OPT_NIFTY_20250515_CE_2400000,0,0,0,0,10350,10090215,10350
OPT_NIFTY_20250515_CE_2410000,0,0,0,0,12825,11201996.25,12825
OPT_NIFTY_20250515_PE_2410000,0,0,0,0,225,6052.5,225
OPT_NIFTY_20250515_CE_2420000,0,0,0,0,450,353025,450
OPT_NIFTY_20250515_PE_2420000,0,0,0,0,3000,99750,3000
OPT_NIFTY_20250515_CE_2430000,0,0,0,0,-525,-365610,-525
OPT_NIFTY_20250515_PE_2430000,0,0,0,0,7125,299962.5,7125
OPT_NIFTY_20250515_CE_2440000,0,0,0,0,-300,-183000,-300
OPT_NIFTY_20250515_PE_2440000,0,0,0,0,8475,453412.5,8475
OPT_NIFTY_20250515_CE_2450000,0,0,0,0,-150,-78285,-150
OPT_NIFTY_20250515_PE_2450000,0,0,0,0,11025,748046.25,11025
OPT_NIFTY_20250515_CE_2460000,0,0,0,0,-450,-199080,-450
OPT_NIFTY_20250515_PE_2460000,0,0,0,0,11550,996765,11550
OPT_NIFTY_20250515_CE_2470000,0,0,0,0,-10875,-3955781.25,-10875
OPT_NIFTY_20250515_PE_2470000,0,0,0,0,4950,540292.5,4950
OPT_NIFTY_20250515_CE_2480000,0,0,0,0,-10650,-3114060,-10650
OPT_NIFTY_20250515_PE_2480000,0,0,0,0,-6900,-951855,-6900
OPT_NIFTY_20250515_CE_2490000,0,0,0,0,-9075,-2060478.75,-9075
OPT_NIFTY_20250515_PE_2490000,0,0,0,0,-4575,-795135,-4575
OPT_NIFTY_20250515_CE_2500000,0,0,0,0,-5550,-950437.5,-5550
OPT_NIFTY_20250515_PE_2500000,0,0,0,0,1875,407531.25,1875
OPT_NIFTY_20250515_CE_2510000,0,0,0,0,-3600,-453420,-3600
OPT_NIFTY_20250515_CE_2520000,0,0,0,0,-600,-53820,-600
OPT_NIFTY_20250515_CE_2530000,0,0,0,0,525,32838.75,525
OPT_NIFTY_20250515_CE_2540000,0,0,0,0,4950,212602.5,4950
OPT_NIFTY_20250515_CE_2550000,0,0,0,0,6525,194118.75,6525
OPT_NIFTY_20250515_PE_2325000,0,0,0,0,-5250,-42000,-5250
OPT_NIFTY_20250515_PE_2335000,0,0,0,0,-6000,-53400,-6000
OPT_NIFTY_20250515_PE_2345000,0,0,0,0,-4950,-50490,-4950
OPT_NIFTY_20250515_PE_2355000,0,0,0,0,-4500,-51750,-4500
OPT_NIFTY_20250515_PE_2365000,0,0,0,0,-450,-5782.5,-450
OPT_NIFTY_20250515_PE_2385000,0,0,0,0,-4050,-69660,-4050
OPT_NIFTY_20250515_CE_2395000,0,0,0,0,9450,9672075,9450
OPT_NIFTY_20250515_PE_2395000,0,0,0,0,-1575,-31815,-1575
OPT_NIFTY_20250515_CE_2405000,0,0,0,0,16125,14986575,16125
OPT_NIFTY_20250515_CE_2415000,0,0,0,0,6600,5510340,6600
OPT_NIFTY_20250515_PE_2415000,0,0,0,0,450,13477.5,450
OPT_NIFTY_20250515_PE_2425000,0,0,0,0,6525,245666.25,6525
OPT_NIFTY_20250515_CE_2435000,0,0,0,0,-450,-293692.5,-450
OPT_NIFTY_20250515_PE_2435000,0,0,0,0,7800,370500,7800
OPT_NIFTY_20250515_CE_2445000,0,0,0,0,-375,-213112.5,-375
OPT_NIFTY_20250515_PE_2445000,0,0,0,0,8625,522675,8625
OPT_NIFTY_20250515_CE_2455000,0,0,0,0,-375,-180750,-375
OPT_NIFTY_20250515_PE_2455000,0,0,0,0,9975,764583.75,9975
OPT_NIFTY_20250515_CE_2465000,0,0,0,0,-3225,-1292902.5,-3225
OPT_NIFTY_20250515_PE_2465000,0,0,0,0,6375,622518.75,6375
OPT_NIFTY_20250515_CE_2475000,0,0,0,0,-10125,-3308850,-10125
OPT_NIFTY_20250515_PE_2475000,0,0,0,0,-2400,-295080,-2400
