CODE,TICKER,EXCHANGE,BUYQTY,BUYVALUE,SELLQTY,SELLVALUE,CARRYQTY,CARRYVALUE,NETQTY,CLOSPRICE
OWN,OPT_SENSEX_20250513_CE_8010000,BSEFNO,0,0,0,0,-4160,-10036208.0,-4160,-4160
OWN,OPT_SENSEX_20250513_PE_8010000,BSEFNO,0,0,0,0,-380,-12730.0,-380,-380
OWN,OPT_SENSEX_20250513_CE_8020000,BSEFNO,0,0,0,0,-4020,-9281577.0,-4020,-4020
OWN,OPT_SENSEX_20250513_PE_8020000,BSEFNO,0,0,0,0,1340,48709.0,1340,1340
OWN,OPT_SENSEX_20250513_CE_8030000,BSEFNO,0,0,0,0,-2300,-5176610.0,-2300,-2300
OWN,OPT_SENSEX_20250513_PE_8030000,BSEFNO,0,0,0,0,1980,79596.0,1980,1980
OWN,OPT_SENSEX_20250513_CE_8040000,BSEFNO,0,0,0,0,1060,2247624.0,1060,1060
OWN,OPT_SENSEX_20250513_PE_8040000,BSEFNO,0,0,0,0,2080,91520.0,2080,2080
OWN,OPT_SENSEX_20250513_CE_8050000,BSEFNO,0,0,0,0,2480,4974508.0,2480,2480
OWN,OPT_SENSEX_20250513_PE_8050000,BSEFNO,0,0,0,0,3880,184300.0,3880,3880
OWN,OPT_SENSEX_20250513_CE_8060000,BSEFNO,0,0,0,0,2600,5033860.0,2600,2600
OWN,OPT_SENSEX_20250513_PE_8060000,BSEFNO,0,0,0,0,3780,198261.0,3780,3780
OWN,OPT_SENSEX_20250513_CE_8070000,BSEFNO,0,0,0,0,2220,4187586.0,2220,2220
OWN,OPT_SENSEX_20250513_PE_8070000,BSEFNO,0,0,0,0,3640,211666.0,3640,3640
OWN,OPT_SENSEX_20250513_CE_8080000,BSEFNO,0,0,0,0,3040,5279264.0,3040,3040
OWN,OPT_SENSEX_20250513_PE_8080000,BSEFNO,0,0,0,0,3180,205428.0,3180,3180
OWN,OPT_SENSEX_20250513_CE_8090000,BSEFNO,0,0,0,0,1620,2673972.0,1620,1620
OWN,OPT_SENSEX_20250513_PE_8090000,BSEFNO,0,0,0,0,2080,150800.0,2080,2080
OWN,OPT_NIFTY_20250515_PE_2320000,NSEFNO,0,0,0,0,-1650,-12375.0,-1650,-1650
OWN,OPT_NIFTY_20250515_PE_2330000,NSEFNO,0,0,0,0,-6900,-57960.0,-6900,-6900
OWN,OPT_NIFTY_20250515_PE_2340000,NSEFNO,0,0,0,0,-4425,-42258.75,-4425,-4425
OWN,OPT_NIFTY_20250515_PE_2350000,NSEFNO,0,0,0,0,-4125,-44962.5,-4125,-4125
OWN,OPT_NIFTY_20250515_PE_2360000,NSEFNO,0,0,0,0,-1575,-19372.5,-1575,-1575
OWN,OPT_NIFTY_20250515_PE_2370000,NSEFNO,0,0,0,0,-300,-4200.0,-300,-300
OWN,OPT_NIFTY_20250515_CE_2390000,NSEFNO,0,0,0,0,3300,3538260.0,3300,3300
OWN,OPT_NIFTY_20250515_PE_2390000,NSEFNO,0,0,0,0,-2925,-54258.75,-2925,-2925
OWN,OPT_NIFTY_20250515_CE_2400000,NSEFNO,0,0,0,0,10350,10090215.0,10350,10350
OWN,OPT_NIFTY_20250515_CE_2410000,NSEFNO,0,0,0,0,12825,11201996.25,12825,12825
OWN,OPT_NIFTY_20250515_PE_2410000,NSEFNO,0,0,0,0,225,6052.5,225,225
OWN,OPT_NIFTY_20250515_CE_2420000,NSEFNO,0,0,0,0,450,353025.0,450,450
OWN,OPT_NIFTY_20250515_PE_2420000,NSEFNO,0,0,0,0,3000,99750.0,3000,3000
OWN,OPT_NIFTY_20250515_CE_2430000,NSEFNO,0,0,0,0,-525,-365610.0,-525,-525
OWN,OPT_NIFTY_20250515_PE_2430000,NSEFNO,0,0,0,0,7125,299962.5,7125,7125
OWN,OPT_NIFTY_20250515_CE_2440000,NSEFNO,0,0,0,0,-300,-183000.0,-300,-300
OWN,OPT_NIFTY_20250515_PE_2440000,NSEFNO,0,0,0,0,8475,453412.5,8475,8475
OWN,OPT_NIFTY_20250515_CE_2450000,NSEFNO,0,0,0,0,-150,-78285.0,-150,-150
OWN,OPT_NIFTY_20250515_PE_2450000,NSEFNO,0,0,0,0,11025,748046.25,11025,11025
OWN,OPT_NIFTY_20250515_CE_2460000,NSEFNO,0,0,0,0,-450,-199080.0,-450,-450
OWN,OPT_NIFTY_20250515_PE_2460000,NSEFNO,0,0,0,0,11550,996765.0,11550,11550
OWN,OPT_NIFTY_20250515_CE_2470000,NSEFNO,0,0,0,0,-10875,-3955781.25,-10875,-10875
OWN,OPT_NIFTY_20250515_PE_2470000,NSEFNO,0,0,0,0,4950,540292.5,4950,4950
OWN,OPT_NIFTY_20250515_CE_2480000,NSEFNO,0,0,0,0,-10650,-3114060.0,-10650,-10650
OWN,OPT_NIFTY_20250515_PE_2480000,NSEFNO,0,0,0,0,-6900,-951855.0,-6900,-6900
OWN,OPT_NIFTY_20250515_CE_2490000,NSEFNO,0,0,0,0,-9075,-2060478.75,-9075,-9075
OWN,OPT_NIFTY_20250515_PE_2490000,NSEFNO,0,0,0,0,-4575,-795135.0,-4575,-4575
OWN,OPT_NIFTY_20250515_CE_2500000,NSEFNO,0,0,0,0,-5550,-950437.5,-5550,-5550
OWN,OPT_NIFTY_20250515_PE_2500000,NSEFNO,0,0,0,0,1875,407531.25,1875,1875
OWN,OPT_NIFTY_20250515_CE_2510000,NSEFNO,0,0,0,0,-3600,-453420.0,-3600,-3600
OWN,OPT_NIFTY_20250515_CE_2520000,NSEFNO,0,0,0,0,-600,-53820.0,-600,-600
OWN,OPT_NIFTY_20250515_CE_2530000,NSEFNO,0,0,0,0,525,32838.75,525,525
OWN,OPT_NIFTY_20250515_CE_2540000,NSEFNO,0,0,0,0,4950,212602.5,4950,4950
OWN,OPT_NIFTY_20250515_CE_2550000,NSEFNO,0,0,0,0,6525,194118.75,6525,6525
OWN,OPT_NIFTY_20250515_PE_2325000,NSEFNO,0,0,0,0,-5250,-42000.0,-5250,-5250
OWN,OPT_NIFTY_20250515_PE_2335000,NSEFNO,0,0,0,0,-6000,-53400.0,-6000,-6000
OWN,OPT_NIFTY_20250515_PE_2345000,NSEFNO,0,0,0,0,-4950,-50490.0,-4950,-4950
OWN,OPT_NIFTY_20250515_PE_2355000,NSEFNO,0,0,0,0,-4500,-51750.0,-4500,-4500
OWN,OPT_NIFTY_20250515_PE_2365000,NSEFNO,0,0,0,0,-450,-5782.5,-450,-450
OWN,OPT_NIFTY_20250515_PE_2385000,NSEFNO,0,0,0,0,-4050,-69660.0,-4050,-4050
OWN,OPT_NIFTY_20250515_CE_2395000,NSEFNO,0,0,0,0,9450,9672075.0,9450,9450
OWN,OPT_NIFTY_20250515_PE_2395000,NSEFNO,0,0,0,0,-1575,-31815.0,-1575,-1575
OWN,OPT_NIFTY_20250515_CE_2405000,NSEFNO,0,0,0,0,16125,14986575.0,16125,16125
OWN,OPT_NIFTY_20250515_CE_2415000,NSEFNO,0,0,0,0,6600,5510340.0,6600,6600
OWN,OPT_NIFTY_20250515_PE_2415000,NSEFNO,0,0,0,0,450,13477.5,450,450
OWN,OPT_NIFTY_20250515_PE_2425000,NSEFNO,0,0,0,0,6525,245666.25,6525,6525
OWN,OPT_NIFTY_20250515_CE_2435000,NSEFNO,0,0,0,0,-450,-293692.5,-450,-450
OWN,OPT_NIFTY_20250515_PE_2435000,NSEFNO,0,0,0,0,7800,370500.0,7800,7800
OWN,OPT_NIFTY_20250515_CE_2445000,NSEFNO,0,0,0,0,-375,-213112.5,-375,-375
OWN,OPT_NIFTY_20250515_PE_2445000,NSEFNO,0,0,0,0,8625,522675.0,8625,8625
